batch_type,motivation,towers,trial_start,stim_on,choice,key,trial_end,acc,rt,score
unstable,stand,stim_set/hard-441.png,6.307712750000064,11.321284917001321,NA,NA,15.78519979200064,,,220.0
unstable,stand,stim_set/easy-411.png,15.834029375000682,17.41028120899864,fall,right,20.429572459001065,correct,1.582595500000025,
unstable,stand,stim_set/hard-vcom=2-95.png,20.46734483399996,22.018846458999178,stand,left,25.035156624999217,correct,1.5573506250002538,
unstable,stand,stim_set/easy-304.png,25.081703625000955,27.635565459000645,fall,right,30.652389958999265,incorrect,2.560321582997858,
unstable,stand,stim_set/hard-14.png,30.689984833999915,33.69350037500044,fall,right,36.71017616700192,correct,3.0094467499984603,
unstable,stand,stim_set/easy-318.png,36.75599708400114,38.98556004200145,fall,right,42.00198512499992,correct,2.2354587909976544,
unstable,stand,stim_set/hard-vcom=3-142.png,42.04984412500198,46.58711883399883,stand,left,49.60858195900073,correct,4.548329125002056,
unstable,stand,stim_set/hard-vcom=4-139.png,49.652000709000276,51.93738016700081,stand,left,54.95852783400187,correct,2.2960253750025004,
unstable,stand,stim_set/easy-542.png,55.005837833999976,56.185574167000595,fall,right,59.201546625001356,correct,1.1855373329999566,
unstable,stand,stim_set/easy-28.png,59.24731612500182,60.77875362499981,fall,right,63.79997729200113,correct,1.5425168329966255,
unstable,stand,stim_set/easy-vcom=1-12.png,63.847515792000195,65.78726729200207,stand,left,68.80837512500148,correct,1.9506771250016754,
unstable,stand,stim_set/hard-vcom=4-88.png,68.85123708399988,70.90237799999886,stand,left,73.91832820900163,correct,2.0568961249991844,
unstable,stand,stim_set/hard-vcom=4-147.png,73.96680454200032,75.70433783399858,stand,left,78.7249049589991,correct,1.7481845830006932,
unstable,stand,stim_set/hard-vcom=4-27.png,78.77353583399963,81.5272724589995,stand,left,84.54401495899947,incorrect,2.7596515839977656,
unstable,stand,stim_set/easy-vcom=2-73.png,84.58685816700017,86.48554037500071,fall,right,89.5016451670017,correct,1.9044214999994438,
unstable,stand,stim_set/hard-286.png,89.55020954200154,94.56241399999999,NA,NA,98.69636100000207,,,
unstable,stand,stim_set/hard-280.png,98.7442555000016,100.79355774999931,stand,left,103.81032687500192,correct,2.0558184170004097,
unstable,stand,stim_set/hard-555.png,103.85401904199898,104.99558183399859,stand,left,108.0168933749992,correct,1.1528406249999534,
unstable,stand,stim_set/hard-vcom=1-92.png,108.06514458400125,109.19377204199918,fall,right,112.21044654200159,correct,1.1347692500021367,
unstable,stand,stim_set/hard-vcom=4-22.png,112.25890354199873,115.55347362500106,stand,left,118.57469137500084,correct,3.305985832997976,
unstable,stand,stim_set/easy-164.png,118.62230574999921,119.65186795900081,fall,right,122.66816241700144,correct,1.0356900000006135,
unstable,stand,stim_set/easy-586.png,122.7144154589987,124.85412283400001,fall,right,127.87491170900103,correct,2.150227541998902,
unstable,stand,stim_set/hard-440.png,127.91917591699894,128.97885441700055,fall,right,132.00056766700072,correct,1.0705421669990756,
unstable,stand,stim_set/hard-78.png,132.047331709,134.93756462500096,fall,right,137.95818516700092,incorrect,2.900734332997672,
unstable,stand,stim_set/hard-600.png,137.99578454199946,140.54379341700042,stand,left,143.56062962500073,correct,2.5545757500003674,
unstable,NA,stim_set/hard-vcom=4-147.png,151.77989024999988,155.40188399999897,stand,left,158.418057709001,correct,3.626454207998904,
unstable,NA,stim_set/easy-vcom=2-73.png,158.45936995900047,160.7285514590003,fall,right,163.75108316700062,correct,2.2807913750002626,
unstable,NA,stim_set/hard-78.png,163.7958711249994,167.2020752919998,stand,left,170.21843583400187,correct,3.412222582999675,
unstable,NA,stim_set/easy-586.png,170.2626662920011,173.2354977089999,fall,right,176.25193516700165,correct,2.978374416998122,
unstable,NA,stim_set/hard-vcom=4-88.png,176.2934971249997,179.04380579200006,stand,left,182.06006999999954,correct,2.7558702079986688,
unstable,NA,stim_set/easy-542.png,182.1059070420015,185.2353415840007,fall,right,188.25180787499994,correct,3.1353037920016504,
unstable,NA,stim_set/hard-286.png,188.29886145899945,190.47702879200006,stand,left,193.49338100000023,correct,2.1842610000021523,
unstable,NA,stim_set/easy-304.png,193.53739549999955,195.49573395900006,fall,right,198.5164715840001,incorrect,1.9683610829997633,
unstable,NA,stim_set/hard-vcom=4-27.png,198.56336204200124,201.49514320900198,stand,left,204.51649774999896,incorrect,2.942810708002071,
unstable,NA,stim_set/hard-440.png,204.55963237499964,207.66045712499908,fall,right,210.67670012500093,correct,3.1063904170005117,
unstable,NA,stim_set/easy-vcom=1-12.png,210.72239470899876,214.43734804199994,stand,left,217.4585606670007,correct,3.7256682080005703,
unstable,NA,stim_set/hard-441.png,217.4989946249989,221.61171566700068,fall,right,224.63332012500177,correct,4.123862958000245,
unstable,NA,stim_set/hard-vcom=1-92.png,224.67992608400164,226.16198791699935,fall,right,229.1832200839999,correct,1.4928412919980474,
unstable,NA,stim_set/hard-14.png,229.21935141699942,232.46874749999915,fall,right,235.48480995900172,correct,3.2549541249973117,
unstable,NA,stim_set/hard-280.png,235.53086516700205,236.970430166999,stand,left,239.99179645899858,correct,1.4502592499993625,
unstable,NA,stim_set/easy-411.png,240.03831162500137,241.96202116700078,fall,right,244.98337724999874,correct,1.9344405830015603,
unstable,NA,stim_set/easy-164.png,245.0298318339992,250.0371640839985,NA,NA,253.83211345900054,,,
unstable,NA,stim_set/hard-600.png,253.8685616670009,255.1687394590008,stand,left,258.1842171249991,correct,1.3058123749979131,
unstable,NA,stim_set/hard-vcom=4-22.png,258.230697125,261.31035854199945,stand,left,264.3266365419986,correct,3.086079290998896,
unstable,NA,stim_set/hard-vcom=2-95.png,264.36312579199875,267.6351585000011,fall,right,270.6515039590013,incorrect,3.2783628750003118,
unstable,NA,stim_set/hard-555.png,270.69358775,275.7037179170002,NA,NA,279.40733645900036,,,
unstable,NA,stim_set/hard-vcom=4-139.png,279.4498518750006,281.0376583750003,stand,left,284.0580990000017,correct,1.5981085829989752,
unstable,NA,stim_set/easy-318.png,284.1027920839988,286.0770385420001,fall,right,289.093460125001,correct,1.9809651670002495,
unstable,NA,stim_set/easy-28.png,289.1375993340007,290.893802958999,fall,right,293.9107396670006,correct,1.7621631660003914,
unstable,NA,stim_set/hard-vcom=3-142.png,293.95740870900045,295.84558858400123,stand,left,298.8662255419986,correct,1.8984869589985465,
unstable,stand,stim_set/easy-164.png,343.6594724589995,346.4206020419988,fall,right,349.44172220900145,correct,2.7709839590024785,
unstable,stand,stim_set/hard-280.png,349.4879482920005,353.3102442499985,stand,left,356.3265724590019,correct,3.8283737499987183,
unstable,stand,stim_set/easy-586.png,356.37081854200005,357.2286062089988,fall,right,360.2496642920014,correct,0.8688750420005817,
unstable,stand,stim_set/easy-318.png,360.2942905000018,361.1269667500019,fall,right,364.14307025000016,correct,0.8388084170001093,
unstable,stand,stim_set/easy-411.png,364.18958629199915,365.10199433399976,fall,right,368.1177248749991,correct,0.9179379170018365,
unstable,stand,stim_set/easy-28.png,368.1617858339996,369.2936220420015,fall,right,372.3102150420018,correct,1.137919332999445,
unstable,stand,stim_set/hard-600.png,372.34618174999923,377.3535247920008,NA,NA,381.6565350000019,,,
unstable,stand,stim_set/hard-vcom=3-142.png,381.7034294590012,385.36157658400043,fall,right,388.383053542002,incorrect,3.6692685000016354,
unstable,stand,stim_set/hard-440.png,388.4258102499989,389.3353909590005,fall,right,392.3513868750015,correct,0.9153495419996034,
unstable,stand,stim_set/hard-286.png,392.3980775839991,395.26167470899964,fall,right,398.28321529200184,incorrect,2.8748529160002363,
unstable,stand,stim_set/hard-vcom=4-22.png,398.33006520900017,401.7099400840016,stand,left,404.72714983400147,correct,3.386709250000422,
unstable,stand,stim_set/hard-441.png,404.76732720899963,407.4434977089986,stand,left,410.45963804200073,incorrect,2.6823368340010347,
unstable,stand,stim_set/hard-555.png,410.5023609589989,412.12030433399923,stand,left,415.1412804169995,correct,1.6285901660012314,
unstable,stand,stim_set/easy-304.png,415.1858608750008,416.1951881249988,fall,right,419.21638429200175,incorrect,1.0199272079989896,
unstable,stand,stim_set/hard-vcom=4-88.png,419.2577855419986,421.5017950420006,stand,left,424.5183364170007,correct,2.249953667000227,
unstable,stand,stim_set/easy-542.png,424.5639622500021,425.6685370000014,fall,right,428.6843464170015,correct,1.1101947909992305,
unstable,stand,stim_set/hard-78.png,428.72908004200144,432.2370225420018,fall,right,435.2583787090007,incorrect,3.518804208997608,
unstable,stand,stim_set/hard-vcom=4-27.png,435.3052858750016,439.68505070899846,fall,right,442.7010056250001,correct,4.385482500001672,
unstable,stand,stim_set/hard-vcom=4-147.png,442.7480837920011,447.41122683399954,stand,left,450.4325698339999,correct,4.674173665996932,
unstable,stand,stim_set/easy-vcom=2-73.png,450.4739991669994,452.0768305419988,fall,right,455.09336262500074,correct,1.6088623750001716,
unstable,stand,stim_set/hard-14.png,455.12974137499987,458.8267677090007,stand,left,461.84355725000205,incorrect,3.703870082998037,
unstable,stand,stim_set/hard-vcom=4-139.png,461.8857044590004,466.89511795900034,NA,NA,471.01502954199896,,,
unstable,stand,stim_set/hard-vcom=1-92.png,471.0618302920011,472.9600342500016,fall,right,475.9763766670003,correct,1.9043612919995212,
unstable,stand,stim_set/easy-vcom=1-12.png,476.02234554200186,479.06187016699914,stand,left,482.0829782920009,correct,3.050782499998604,
unstable,stand,stim_set/hard-vcom=2-95.png,482.1191252089993,486.88769445900107,fall,right,489.908065874999,incorrect,4.778498625000793,
stable,stand,stim_set/hard-vcom=4-130.png,5.762492375000875,10.061222708998685,fall,right,13.076723416997993,correct,4.303233333001117,
stable,stand,stim_set/easy-538.png,13.118990999999369,14.129908709001029,fall,right,17.151253749998432,correct,1.0219396249995043,
stable,stand,stim_set/easy-63.png,17.19454874999792,18.14451341699896,fall,right,21.160708250001335,correct,0.9561906250019092,
stable,stand,stim_set/easy-vcom=4-126.png,21.208794709000358,22.420720416997938,fall,right,25.442597041997942,correct,1.2229513329984911,
stable,stand,stim_set/easy-280.png,25.485951792001288,26.386085750000348,fall,right,29.40244724999866,correct,0.9062340829987079,
stable,stand,stim_set/easy-vcom=4-69.png,29.44992766699943,31.07768275000126,stand,left,34.09381512500113,incorrect,1.6338603330004844,
stable,stand,stim_set/easy-vcom=1-73.png,34.131259917001444,35.770711041997856,stand,left,38.792163583999354,correct,1.6507332090004638,
stable,stand,stim_set/hard-474.png,38.835441291997995,40.47106270899894,fall,right,43.492281541999546,correct,1.6465552500012564,
stable,stand,stim_set/easy-vcom=3-142.png,43.538236166998104,45.5358934169999,stand,left,48.552300667000964,correct,2.0038552080004592,
stable,stand,stim_set/easy-vcom=1-83.png,48.590123875001154,50.23741254199922,stand,left,53.259240374998626,correct,1.6586602089992084,
stable,stand,stim_set/hard-vcom=4-45.png,53.30480770899885,55.21096570900045,fall,right,58.2269848750002,correct,1.911962707999919,
stable,stand,stim_set/hard-vcom=2-45.png,58.264638749998994,61.887494499998866,stand,left,64.90898920899781,incorrect,3.63423899999907,
