towers,bet,condition,iti,corr_choice,corr_key,difficulty,block_start,trial_start,stim_on,acc,trial_end,rt,part_choice,part_key,confidence,block_end,updated_score
stim_set/hard-600.png,none.png,unmotivated,2.5,stand,right,hard,,321.6631700830003,326.65967141700094,incorrect,331.2526281669998,4.954571416999897,fall,left,3,,
stim_set/easy-411.png,none.png,unmotivated,4.0,stand,right,easy,,331.25318566700116,336.22455487499974,correct,342.76052804200117,4.915076833000057,stand,right,3,342.7608514580006,
stim_set/hard-78.png,none.png,unmotivated,2.25,stand,right,hard,344.1056310420008,344.1063255000008,348.92474329200013,incorrect,354.4205184170005,4.763092791999952,fall,left,3,,
stim_set/hard-vcom=2-100.png,none.png,unmotivated,3.25,fall,left,hard,,354.4211565000005,357.5830141250008,correct,363.5870586250003,3.109670833000564,fall,left,4,,
stim_set/easy-538.png,none.png,unmotivated,2.5,stand,right,easy,,363.5878602499997,366.7498058330002,correct,371.97323241699996,3.110912833000839,stand,right,5,,
stim_set/hard-316.png,none.png,unmotivated,2.0,stand,right,hard,,371.97379466700113,375.3080374170004,correct,379.6088410000011,3.282420749999801,stand,right,4,,
stim_set/hard-566.png,none.png,unmotivated,3.75,stand,right,hard,,379.609469250001,384.68305362499996,incorrect,389.64489445800064,,,,,,
stim_set/easy-164.png,none.png,unmotivated,4.0,stand,right,easy,,389.6454869170011,391.566325875001,correct,397.8493052920003,1.8644500829996105,stand,right,4,,
stim_set/hard-382.png,none.png,unmotivated,2.75,stand,right,hard,,397.84980516699943,399.6080701250012,incorrect,404.7270795830009,1.7127926659995865,fall,left,3,,
stim_set/easy-77.png,none.png,unmotivated,3.0,stand,right,easy,,404.7276223330009,406.09148220799943,correct,412.794935625001,1.311899500000436,stand,right,3,,
stim_set/hard-vcom=4-23.png,none.png,unmotivated,2.5,fall,left,hard,,412.79545520800093,417.3831393750006,correct,422.21275658299965,4.534723999999187,fall,left,2,,
stim_set/hard-vcom=4-147.png,none.png,unmotivated,2.25,fall,left,hard,,422.21333754199986,426.76842424999995,correct,432.1089058329999,4.50258891699923,fall,left,2,,
stim_set/hard-549.png,none.png,unmotivated,3.25,stand,right,hard,,432.1096257499994,435.5497896249999,correct,441.22758279200025,3.3860348329999397,stand,right,2,,
stim_set/hard-2.png,none.png,unmotivated,2.75,stand,right,hard,,441.2281288329996,445.65803912500087,correct,450.8152834579996,4.375320834000377,stand,right,3,,
stim_set/hard-vcom=1-136.png,none.png,unmotivated,2.5,fall,left,hard,,450.81582004200027,454.70806533299947,correct,459.6847672920012,3.8392077919997973,fall,left,3,,
stim_set/easy-vcom=2-3.png,none.png,unmotivated,4.0,fall,left,easy,,459.6852832080003,464.7498550830005,incorrect,469.97463741700085,,,,,,
stim_set/hard-334.png,none.png,unmotivated,2.0,stand,right,hard,,469.9751745829999,472.51841691700065,incorrect,477.6968746670009,2.497794916998828,fall,left,4,,
