batch_type,motivation,towers,trial_start,stim_on,choice,key,trial_end,acc,rt,score
stable,fall,stim_set/hard-vcom=4-130.png,3.8161806660000366,8.834239416000173,NA,NA,13.355396500000097,,,226.0
stable,fall,stim_set/hard-451.png,13.40351420800016,15.300948041000083,fall,right,18.317264041000044,correct,1.903265417000057,
stable,fall,stim_set/easy-280.png,18.360442291000027,19.392692125000167,fall,right,22.40933562500004,correct,1.0385482079998383,
stable,fall,stim_set/easy-vcom=3-125.png,22.457916291000174,24.084247833000063,stand,left,27.10075170800019,correct,1.6329922499999157,
stable,fall,stim_set/hard-vcom=4-45.png,27.14598370800013,29.56787420800015,fall,right,32.5834312500001,correct,2.427724458000057,
stable,fall,stim_set/hard-40.png,32.630281333000084,33.634429958000055,stand,left,36.65101829100013,correct,1.0103249999999662,
stable,fall,stim_set/easy-538.png,36.693303625,40.61774975000003,fall,right,43.63341991600009,correct,3.9304774160000306,
stable,fall,stim_set/hard-570.png,43.68167683299998,44.66920437500016,stand,left,47.69077200000015,correct,0.9991972079999414,
stable,fall,stim_set/easy-vcom=4-126.png,47.739051625,50.492572708000125,stand,left,53.509478500000114,incorrect,2.760014417000093,
stable,fall,stim_set/easy-63.png,53.552713625000024,54.785886666000124,fall,right,57.807348833000106,correct,1.2447987499999726,
stable,fall,stim_set/easy-vcom=2-3.png,57.85291595800004,59.285554833000106,stand,left,62.307631666000134,incorrect,1.4444340420000117,
stable,fall,stim_set/hard-vcom=1-3.png,62.35244279100016,63.37622016600017,stand,left,66.39199558300015,correct,1.029525790999969,
stable,fall,stim_set/easy-20.png,66.43604129100004,70.144664208,stand,left,73.1658238330001,incorrect,3.719149583000217,
stable,fall,stim_set/easy-vcom=1-73.png,73.20367741600012,74.25119758300002,stand,left,77.26775850000013,correct,1.0532353749999857,
stable,fall,stim_set/hard-474.png,77.31048720800004,79.08448229100009,fall,right,82.101209208,correct,1.7804132090000166,
stable,fall,stim_set/easy-vcom=4-69.png,82.14828337500012,83.83616433300017,stand,left,86.85742316599999,incorrect,1.699055332999933,
stable,fall,stim_set/hard-367.png,86.90202654100017,88.10122633300011,stand,left,91.11677450000002,correct,1.204631000000063,
stable,fall,stim_set/hard-vcom=2-45.png,91.15438804100017,92.46139808300018,stand,left,95.48275779100004,incorrect,1.3178424580000865,
stable,fall,stim_set/easy-590.png,95.53112787500004,97.40951558300003,fall,right,100.42526308300012,correct,1.8842529999999442,
stable,fall,stim_set/easy-vcom=3-142.png,100.47263462500018,101.98611479100009,stand,left,105.0076462080001,correct,1.524265000000014,
stable,fall,stim_set/easy-31.png,105.05296008300002,107.33581270800005,stand,left,110.35715470800005,correct,2.2943074170000273,
stable,fall,stim_set/hard-563.png,110.4053838750001,113.05951904100016,stand,left,116.07556170800012,correct,2.6603205829999297,
stable,fall,stim_set/easy-vcom=1-83.png,116.11297750000017,117.05302533300005,stand,left,120.07447900000011,correct,0.9513299170000664,
stable,fall,stim_set/hard-vcom=4-67.png,120.11834558300006,123.51801212500004,stand,left,126.53495183300015,incorrect,3.4058511250000265,
stable,fall,stim_set/hard-vcom=2-16.png,126.58322670799998,127.43477529100005,stand,left,130.4509437910001,correct,0.8576752919998398,
stable,stand,stim_set/easy-vcom=4-69.png,154.783304541,156.78477716600014,stand,left,159.801375666,incorrect,2.0065293750001274,
stable,stand,stim_set/hard-vcom=4-67.png,159.84395591600014,162.42817175000005,fall,right,165.449374541,correct,2.595287917000178,
stable,stand,stim_set/easy-vcom=2-3.png,165.4934880410001,166.97846470800005,stand,left,169.99909045800018,incorrect,1.4959527089999938,
stable,stand,stim_set/hard-570.png,170.04599133300007,171.0286027080001,stand,left,174.0498788750001,correct,0.9931426670000292,
stable,stand,stim_set/easy-vcom=1-83.png,174.08584716600012,174.884744125,stand,left,177.90148108300014,correct,0.8052231250001114,
stable,stand,stim_set/hard-451.png,177.94612241599998,179.51806525000006,fall,right,182.53461779100007,correct,1.5780015840000488,
stable,stand,stim_set/easy-538.png,182.57491249999998,184.05145258300013,fall,right,187.06760958300015,correct,1.4821539160000157,
stable,stand,stim_set/easy-63.png,187.1095244160001,188.33472700000016,fall,right,191.35091995800008,correct,1.2308875420001186,
stable,stand,stim_set/hard-vcom=4-130.png,191.39328983300015,193.29297166600008,fall,right,196.30884912500005,correct,1.9057031250001728,
stable,stand,stim_set/hard-367.png,196.3515775410001,197.851487916,stand,left,200.86848083300015,correct,1.5065495420001298,
stable,stand,stim_set/easy-vcom=1-73.png,200.9048445410001,203.45979191600009,stand,left,206.47633783300012,correct,2.561059417000024,
stable,stand,stim_set/hard-563.png,206.523447541,208.37650683300012,fall,right,211.39253279100012,incorrect,1.8588189170000078,
