batch_type,motivation,towers,trial_start,stim_on,choice,acc,rt,key,trial_end,score
unstable,NA,stim_set/hard-371.png,2.82359145800001,3.87084537499868,fall,incorrect,1.0502851669989468,right,6.889855833000183,226.0
unstable,NA,stim_set/easy-77.png,6.935251249999055,8.137391707999996,fall,correct,1.2079410839996854,right,11.153214832998856,
unstable,NA,stim_set/hard-82.png,11.199558999998771,12.838984874999369,fall,incorrect,1.6504727080009616,right,15.86028641699886,
unstable,NA,stim_set/hard-388.png,15.898294208000152,17.295761624998704,stand,correct,1.402962000000116,left,20.311405999998897,
unstable,NA,stim_set/hard-442.png,20.35957979199884,21.787348292000388,fall,incorrect,1.4336485829990124,right,24.80386745800024,
unstable,NA,stim_set/easy-13.png,24.85204020799938,26.289357624998956,fall,correct,1.4478317079992848,right,29.310039416999643,
unstable,NA,stim_set/easy-121.png,29.35886712499996,30.697358874998827,fall,incorrect,1.3493705420005426,right,33.718759874998796,
unstable,NA,stim_set/hard-590.png,33.76524324999991,34.972856458000024,fall,correct,1.2184255419997498,right,37.99377520800044,
unstable,NA,stim_set/hard-556.png,38.036168624999846,40.86231691699868,fall,incorrect,2.8322667499996896,right,43.87867858299978,
unstable,NA,stim_set/easy-vcom=4-4.png,43.92243487499945,45.02081983300013,fall,correct,1.1042636250003852,right,48.03682658300022,
unstable,NA,stim_set/hard-552.png,48.0830058749998,49.84584004200042,stand,correct,1.7691472499991505,left,52.86272641699907,
unstable,NA,stim_set/hard-vcom=1-5.png,52.906436625000424,54.88894624999921,fall,incorrect,1.993748749999213,right,57.91016445799869,
unstable,NA,stim_set/hard-21.png,57.953415083000436,59.95406774999901,stand,correct,2.00670799999898,left,62.97101624999959,
unstable,NA,stim_set/hard-345.png,63.01476550000007,64.22261074999915,fall,correct,1.218762999998944,right,67.24353770800008,
unstable,NA,stim_set/hard-2.png,67.29020212499927,69.79565170800015,fall,incorrect,2.5112570830006007,right,72.8120097079991,
unstable,NA,stim_set/hard-vcom=3-100.png,72.85640749999948,74.25430274999962,fall,correct,1.4036409169984836,right,77.26977441700001,
