batch_type,motivation,towers,trial_start,stim_on,choice,key,trial_end,acc,rt,score
stable,stand,stim_set/hard-vcom=4-132.png,8.45487425000465,10.09083770900179,fall,right,13.112738125004398,incorrect,1.647711249999702,
stable,stand,stim_set/hard-vcom=3-145.png,13.149373625004955,15.856101541998214,fall,right,18.871540625004855,correct,2.7123388330001035,
stable,stand,stim_set/hard-vcom=3-143.png,18.913171833999513,21.089330792005057,fall,right,24.105887709003582,incorrect,2.1818257499980973,
stable,stand,stim_set/easy-11.png,24.148142917001678,25.67245387499861,fall,right,28.688703625004564,correct,1.530046374995436,
stable,stand,stim_set/easy-344.png,28.73038637499849,31.081083625002066,fall,right,34.097173750000366,correct,2.3563464999970165,
stable,stand,stim_set/hard-576.png,34.13377620900428,37.791126167001494,fall,right,40.81277295900509,incorrect,3.668672959000105,
stable,stand,stim_set/easy-195.png,40.85481224999967,42.24155537500337,fall,right,45.26197004200367,correct,1.3968216249995749,
stable,stand,stim_set/easy-122.png,45.30483108400222,47.98109037500399,fall,right,50.99707208399923,incorrect,2.68164658400201,
stable,stand,stim_set/hard-214.png,51.0435078340015,54.28249462500389,stand,left,57.304111584002385,correct,3.2500387500040233,
stable,stand,stim_set/easy-vcom=3-106.png,57.3461773750023,59.67268870900443,stand,left,62.68881966700428,correct,2.3323955000014394,
stable,stand,stim_set/hard-vcom=2-100.png,62.73175495900068,64.23103808399901,stand,left,67.24780970899883,correct,1.504907666996587,
stable,stand,stim_set/hard-vcom=1-95.png,67.29123433399945,71.29915258400433,stand,left,74.32080158399913,correct,4.019238667002355,
stable,stand,stim_set/hard-599.png,74.35676950000197,75.53084562499862,stand,left,78.54727195900341,correct,1.1795826249945094,
stable,stand,stim_set/easy-vcom=3-121.png,78.59187799999927,80.99929154200072,stand,left,84.02025566700468,incorrect,2.418086499994388,
stable,stand,stim_set/hard-vcom=4-23.png,84.06291862500075,87.22430979199999,stand,left,90.24526162500115,correct,3.1718455419977545,
stable,stand,stim_set/easy-233.png,90.29196120900451,91.88941233399964,fall,right,94.90627820900409,correct,1.6038521669979673,
stable,stand,stim_set/easy-228.png,94.9425621670016,96.19780941700446,fall,right,99.21416591700108,correct,1.2606302080021123,
stable,stand,stim_set/hard-369.png,99.25033475000237,101.54779933400278,fall,right,104.56379929200193,correct,2.302980000000389,
stable,stand,stim_set/easy-239.png,104.60788070900162,106.04957654199825,fall,right,109.07036066699948,correct,1.4524468329982483,
