batch_type,motivation,towers,trial_start,stim_on,choice,acc,rt,key,trial_end,score
unstable,fall,stim_set/hard-271.png,327.1582896670152,329.1558479590167,fall,incorrect,2.0031245420104824,right,332.17221433401573,
unstable,fall,stim_set/hard-vcom=2-144.png,332.2083325840067,333.72440462501254,stand,incorrect,1.5263915410032496,left,336.7456567090121,
unstable,fall,stim_set/hard-345.png,336.7886759999965,337.9725092090084,fall,correct,1.1890976249997038,right,340.98857524999767,
unstable,fall,stim_set/easy-121.png,341.03537370898994,342.4640932090115,fall,incorrect,1.435154250008054,right,345.4807085840148,
unstable,fall,stim_set/easy-77.png,345.52298679199885,346.79049429201405,fall,correct,1.2784750419959892,right,349.8121715419984,
unstable,fall,stim_set/hard-82.png,349.8576845420175,351.83055879201856,stand,correct,1.9784779579786118,left,354.8469096249901,
unstable,fall,stim_set/hard-21.png,354.8893440840184,356.239051542012,stand,correct,1.3555477499903645,left,359.25518962499336,
unstable,fall,stim_set/easy-vcom=4-4.png,359.29825262501254,360.37250716699054,fall,correct,1.0799202079942916,right,363.3885983749933,
stable,NA,stim_set/hard-vcom=2-100.png,1.72558220801875,2.952281458012294,stand,correct,1.2314283750019968,left,5.968884750007419,
stable,NA,stim_set/easy-122.png,6.012801291013602,8.010885208001127,fall,incorrect,2.003793834010139,right,11.02701958300895,
stable,NA,stim_set/hard-214.png,11.074600666004699,12.127446124999551,stand,correct,1.0589222499984317,left,15.143761291023111,
stable,NA,stim_set/easy-8.png,15.1860842910246,16.535985583002912,fall,correct,1.3558050830033608,right,19.5521394580137,
stable,NA,stim_set/easy-vcom=1-87.png,19.599120958009735,20.752383416023804,stand,correct,1.1586744170053862,left,23.768145375011954,
stable,NA,stim_set/hard-vcom=4-23.png,23.811943916021846,24.895680000016,stand,correct,1.0952782089880202,left,27.91733291602577,
stable,NA,stim_set/easy-11.png,27.960804500005906,29.02099137500045,fall,correct,1.0708529169787653,right,32.04196150001371,
stable,NA,stim_set/hard-vcom=1-95.png,32.08528104101424,33.035885125020286,stand,correct,0.9564303749939427,left,36.05241687502712,
stable,NA,stim_set/easy-344.png,36.09536108301836,37.54393112502294,fall,correct,1.4551814580045175,right,40.56055150000611,
stable,NA,stim_set/hard-vcom=3-82.png,40.606442708027316,41.71090162501787,stand,correct,1.1109480000159238,left,44.729731041006744,
stable,NA,stim_set/easy-239.png,44.77650383301079,46.285865416022716,stand,incorrect,1.5148972920142114,left,49.30252466601087,
stable,NA,stim_set/hard-492.png,49.34827183300513,51.97744345801766,fall,incorrect,2.6352020830090623,right,54.99413666600594,
stable,NA,stim_set/easy-vcom=3-121.png,55.04023587499978,56.9941795830091,stand,incorrect,1.959798124997178,left,60.01012229101616,
stable,NA,stim_set/hard-576.png,60.047917083022185,62.062864250008715,fall,incorrect,2.0259681250026915,right,65.08461708301911,
stable,NA,stim_set/easy-228.png,65.12236029101769,66.30243187502492,fall,correct,1.1858402500220109,right,69.31849554102519,
stable,NA,stim_set/hard-410.png,69.3658649160061,70.6441910410067,stand,incorrect,1.28397920797579,left,73.66030908300309,
stable,NA,stim_set/hard-vcom=3-145.png,73.69783912500134,75.50261745802709,fall,correct,1.8102775419829413,right,78.51879300002474,
stable,NA,stim_set/hard-vcom=3-143.png,78.5621943330043,80.88586337500601,stand,correct,2.3293551249953452,left,83.90163341601146,
stable,NA,stim_set/hard-599.png,83.93937362500583,86.0128975410189,fall,incorrect,2.0837859160092194,right,89.03357791600865,
stable,NA,stim_set/easy-233.png,89.08147054101573,90.47059733301285,fall,correct,1.4001429170020856,right,93.49154987500515,
stable,NA,stim_set/easy-195.png,93.53507945800084,94.7191950410197,fall,correct,1.1894050420087297,right,97.73474095802521,
