towers,bet,condition,iti,corr_choice,corr_key,difficulty,block_start,trial_start,stim_on,acc,rt,part_choice,part_key,confidence,trial_end,block_end,updated_score
stim_set/hard-600.png,none.png,unmotivated,2.5,stand,right,hard,4.0000013541430235e-06,0.0028953340006410144,3.2385547919984674,correct,3.1843398340060958,stand,right,5,11.38633587500226,,190.0
stim_set/hard-vcom=4-147.png,none.png,unmotivated,2.25,fall,left,hard,,11.387787416999345,15.62184900000284,incorrect,4.17622187500092,stand,right,3,22.007926459002192,,
stim_set/easy-vcom=1-12.png,none.png,unmotivated,2.0,fall,left,easy,,22.00848841699917,24.779843500000425,correct,2.7142534169979626,fall,left,5,30.692459208999935,,
stim_set/hard-492.png,none.png,unmotivated,2.0,stand,right,hard,,30.693075625000347,34.04868770900066,incorrect,3.303955125003995,fall,left,5,40.59164325000165,,
stim_set/hard-vcom=2-137.png,none.png,unmotivated,3.0,fall,left,hard,,40.59237445900362,43.114957874997344,correct,2.4766143750021,fall,left,5,49.652771749999374,,
stim_set/easy-vcom=2-147.png,none.png,unmotivated,3.25,fall,left,easy,,49.6532924589992,53.19662679199973,correct,3.488747124996735,fall,left,5,59.79800820899982,,
stim_set/easy-vcom=1-73.png,none.png,unmotivated,2.5,fall,left,easy,,59.79855595900153,64.8547957089977,incorrect,,,,,70.61207137499878,,
stim_set/easy-344.png,none.png,unmotivated,4.0,stand,right,easy,,70.61267091699847,73.32147179199819,correct,2.6563308340046206,stand,right,5,80.87606816700281,,
stim_set/easy-vcom=4-126.png,none.png,unmotivated,2.5,fall,left,easy,,80.87662908399943,82.37155699999857,incorrect,1.4374699999971199,stand,right,5,88.31253045899939,,
stim_set/hard-vcom=2-147.png,none.png,unmotivated,2.5,fall,left,hard,,88.31307916699734,92.24633991700102,correct,3.8868327909949585,fall,left,5,97.31092841699865,,
stim_set/hard-132.png,none.png,unmotivated,3.75,stand,right,hard,,97.3114800839976,98.9317107090028,incorrect,1.5721019170014188,fall,left,5,106.28209779199824,,
stim_set/hard-vcom=3-7.png,none.png,unmotivated,2.75,fall,left,hard,,106.28261875000317,107.82130475000304,correct,1.4864442909965874,fall,left,5,113.32854262500041,,
stim_set/hard-391.png,none.png,unmotivated,2.25,stand,right,hard,,113.32909291700344,114.93130541699793,incorrect,1.5543703750008717,fall,left,5,121.44132479200198,,
stim_set/hard-402.png,none.png,unmotivated,2.5,stand,right,hard,,121.44191524999769,124.49798987500253,incorrect,3.0049198330016225,fall,left,5,129.94335766699805,,
stim_set/easy-13.png,none.png,unmotivated,2.5,stand,right,easy,,129.94390512500104,132.1480067500015,correct,2.1510744159968453,stand,right,5,137.71890612500283,,
stim_set/hard-367.png,none.png,unmotivated,2.5,stand,right,hard,,137.71964883399778,140.62300920899725,incorrect,2.8548695419958676,fall,left,5,145.77526183400187,,
stim_set/easy-vcom=2-20.png,none.png,unmotivated,2.25,fall,left,easy,,145.7758926250026,147.53807799999777,correct,1.7097678339996492,fall,left,5,152.34907662500336,,
stim_set/hard-316.png,none.png,unmotivated,2.0,stand,right,hard,,152.3496055420037,155.93782312500116,correct,3.5351595000029192,stand,right,5,160.9217879170028,,
stim_set/hard-82.png,none.png,unmotivated,3.75,stand,right,hard,,160.92233504199976,164.7126913750035,incorrect,3.7349283339935937,fall,left,4,172.54900725000334,,
stim_set/hard-564.png,none.png,unmotivated,3.75,stand,right,hard,,172.54973458399763,174.03783566699713,incorrect,1.4325514579977607,fall,left,5,180.978782416998,,
stim_set/hard-vcom=3-142.png,none.png,unmotivated,3.25,fall,left,hard,,180.97939079200296,184.59609770899988,incorrect,3.5597457499970915,stand,right,4,191.5174557499995,,
stim_set/hard-566.png,none.png,unmotivated,3.75,stand,right,hard,,191.51810645899968,193.04607112499798,incorrect,1.4708206669965875,fall,left,5,199.4408483340012,,
stim_set/hard-280.png,none.png,unmotivated,2.25,stand,right,hard,,199.44143366700155,201.57319024999742,correct,2.0795666670019273,stand,right,5,206.87775025000155,,
stim_set/hard-vcom=3-145.png,none.png,unmotivated,2.75,fall,left,hard,,206.87840074999986,210.0876930000013,correct,3.1628819999968982,fall,left,4,217.2857025839985,,
stim_set/easy-vcom=2-94.png,none.png,unmotivated,2.75,fall,left,easy,,217.28625154199835,219.62104566700145,incorrect,2.2826017499974114,stand,right,3,224.9768807090004,,
stim_set/hard-vcom=4-80.png,none.png,unmotivated,3.75,fall,left,hard,,224.97745083399786,227.39607333399908,correct,2.361789709000732,fall,left,5,234.35500850000244,,
stim_set/hard-599.png,none.png,unmotivated,3.0,stand,right,hard,,234.35554670899728,238.21256279200315,correct,3.811466457998904,stand,right,4,244.4040751670036,,
stim_set/hard-182.png,none.png,unmotivated,4.0,stand,right,hard,,244.40461616699758,246.61276662500313,incorrect,2.161514542000077,fall,left,5,253.49789316699753,,
stim_set/hard-570.png,none.png,unmotivated,2.25,stand,right,hard,,253.49850504200003,255.10433449999982,incorrect,1.5490072079992387,fall,left,5,260.42867520899745,,
stim_set/easy-vcom=4-69.png,none.png,unmotivated,2.25,fall,left,easy,,260.42921316700085,262.046042791997,incorrect,1.5610858329964685,stand,right,5,266.64410987500014,,
stim_set/easy-280.png,none.png,unmotivated,3.0,stand,right,easy,,266.64472312499856,267.97280991700245,correct,1.2796459999954095,stand,right,5,274.23585804199683,,
stim_set/hard-2.png,none.png,unmotivated,2.75,stand,right,hard,,274.23658295899804,275.58758804199897,incorrect,1.296257958994829,fall,left,5,280.6721807499998,,
