towers,bet,condition,iti,corr_choice,corr_key,difficulty,block_start,trial_start,stim_on,acc,rt,part_choice,part_key,confidence,trial_end,block_end,updated_score,condition_first,cue_on,condition_second
stim_set/hard-vcom=1-50.png,none.png,unmotivated,3.75,fall,left,hard,,287.6164199159976,290.1406544999992,correct,2.4726386250040377,fall,left,4.0,297.07947033300303,,,,,
stim_set/easy-280.png,none.png,unmotivated,3.0,stand,right,easy,,297.0800694999998,298.47364854100306,correct,1.34653645799699,stand,right,5.0,304.1195675409981,,,,,
stim_set/hard-7.png,none.png,unmotivated,2.25,stand,right,hard,,304.1200985000032,305.7491386659967,incorrect,1.5765684159996454,fall,left,4.0,311.09818041600374,,,,,
stim_set/easy-590.png,none.png,unmotivated,2.5,stand,right,easy,,311.0987616659986,313.0638660830008,correct,1.9089125829996192,stand,right,4.0,319.0443179580034,,,,,
stim_set/hard-600.png,none.png,unmotivated,2.5,stand,right,hard,,319.04503954100073,320.7408900829978,incorrect,1.6539554579940159,fall,left,5.0,325.8995400409985,,,,,
stim_set/easy-411.png,none.png,unmotivated,4.0,stand,right,easy,,325.90007958299975,327.4638904579988,correct,1.5077849159933976,stand,right,5.0,335.0898413329996,335.09016862499993,,,,
stim_set/hard-78.png,none.png,unmotivated,2.25,stand,right,hard,345.68760812500125,345.688459625002,347.26560558300116,incorrect,1.5273321669956204,fall,left,4.0,352.8984787910013,,,,,
stim_set/hard-vcom=2-100.png,none.png,unmotivated,3.25,fall,left,hard,,352.8990459580018,354.5989652499993,correct,1.651815458004421,fall,left,4.0,360.63432537500194,,,,,
stim_set/easy-538.png,none.png,unmotivated,2.5,stand,right,easy,,360.6349695829995,362.3221404580036,correct,1.6363223750013276,stand,right,5.0,367.3083056660033,,,,,
stim_set/hard-316.png,none.png,unmotivated,2.0,stand,right,hard,,367.30894875000376,369.74737704099965,incorrect,2.383231416999479,fall,left,4.0,374.27965837500227,,,,,
stim_set/hard-566.png,none.png,unmotivated,3.75,stand,right,hard,,374.28019925000257,378.7577342910008,incorrect,4.424949749998632,fall,left,5.0,386.41544712500036,,,,,
stim_set/easy-164.png,none.png,unmotivated,4.0,stand,right,easy,,386.4159851250006,387.8055525410018,correct,1.3332155419993796,stand,right,5.0,395.1607831660003,,,,,
stim_set/hard-382.png,none.png,unmotivated,2.75,stand,right,hard,,395.1613483330002,396.98253187500086,incorrect,1.7798258340044413,fall,left,5.0,402.7979477909976,,,,,
stim_set/easy-77.png,none.png,unmotivated,3.0,stand,right,easy,,402.7984349580002,404.263898582998,correct,1.4137804159981897,stand,right,5.0,409.8161640000035,,,,,
stim_set/hard-vcom=4-23.png,none.png,unmotivated,2.5,fall,left,hard,,409.81676962500205,412.1556745830021,correct,2.28612679100479,fall,left,4.0,417.0603471659997,,,,,
stim_set/hard-vcom=4-147.png,none.png,unmotivated,2.25,fall,left,hard,,417.0609034579976,418.5491087909977,correct,1.4358709170046495,fall,left,4.0,423.41780324999854,,,,,
stim_set/hard-549.png,none.png,unmotivated,3.25,stand,right,hard,,423.4184351660006,427.35556754100253,correct,3.883449749999272,stand,right,4.0,434.7795458749969,,,,,
stim_set/hard-2.png,none.png,unmotivated,2.75,stand,right,hard,,434.78008841600234,436.9571942080002,correct,2.1274142909969664,stand,right,3.0,442.5579413329978,,,,,
stim_set/hard-vcom=1-136.png,none.png,unmotivated,2.5,fall,left,hard,,442.5584901659968,443.9071386249999,correct,1.3014534169997205,fall,left,5.0,449.7011080000012,,,,,
stim_set/easy-vcom=2-3.png,none.png,unmotivated,4.0,fall,left,easy,,449.7018022909979,452.5992472910002,correct,2.8476034170016646,fall,left,4.0,459.43975254100235,,,,,
stim_set/hard-334.png,none.png,unmotivated,2.0,stand,right,hard,,459.4403495410006,461.20561433299736,incorrect,1.714512416998332,fall,left,5.0,465.6888545000038,,,,,
stim_set/hard-570.png,none.png,unmotivated,2.25,stand,right,hard,,465.68939112500084,468.7908650829995,incorrect,3.0496167080054875,fall,left,4.0,473.6421887079997,,,,,
stim_set/hard-49.png,none.png,unmotivated,2.25,stand,right,hard,,473.6427509999994,475.4747527500003,incorrect,1.7785558750038035,fall,left,5.0,480.3619142910029,,,,,
stim_set/easy-vcom=1-145.png,none.png,unmotivated,3.75,fall,left,easy,,480.3624782080005,481.9161852910038,correct,1.5038131670007715,fall,left,5.0,488.57436108300317,,,,,
stim_set/hard-599.png,none.png,unmotivated,3.0,stand,right,hard,,488.574963416002,491.0556618330011,incorrect,2.43485545799922,fall,left,5.0,497.5689119160015,,,,,
stim_set/hard-vcom=2-147.png,none.png,unmotivated,2.5,fall,left,hard,,497.56943866600335,499.6058191249977,correct,1.9905143750002023,fall,left,4.0,504.4595579579982,,,,,
stim_set/hard-vcom=3-82.png,none.png,unmotivated,2.25,fall,left,hard,,504.4600971660038,505.97236970799713,correct,1.4575822500046345,fall,left,4.0,510.9062804580025,,,,,
stim_set/hard-vcom=4-75.png,none.png,unmotivated,2.5,fall,left,hard,,510.90679487500165,512.2974176249992,correct,1.3352768340046168,fall,left,4.0,517.4118664580019,,,,,
stim_set/hard-14.png,none.png,unmotivated,3.25,stand,right,hard,,517.4124074580031,520.2723838750026,incorrect,2.813513875000353,fall,left,5.0,526.5775390409982,,,,,
stim_set/easy-vcom=1-73.png,none.png,unmotivated,2.5,fall,left,easy,,526.5780940409968,528.0737939160026,correct,1.4546430420014076,fall,left,3.0,534.0606973750037,,,,,
stim_set/easy-vcom=3-142.png,none.png,unmotivated,2.75,fall,left,easy,,534.061255624998,536.2308782499967,correct,2.1145192080002744,fall,left,3.0,542.4404817500035,,,,,
stim_set/easy-vcom=2-147.png,none.png,unmotivated,3.25,fall,left,easy,,542.4411298749983,544.3808182909996,correct,1.8861828330045682,fall,left,4.0,551.5632421249975,,,,,
stim_set/easy-vcom=3-15.png,none.png,unmotivated,2.25,fall,left,easy,,551.5638808329968,553.8558391659972,correct,2.2396227089993768,fall,left,4.0,558.5615232909986,,,,,
stim_set/hard-vcom=3-7.png,none.png,unmotivated,2.75,fall,left,hard,,558.562031458001,560.0726361659981,correct,1.4576448340012575,fall,left,5.0,565.4462111660033,,,,,
stim_set/hard-182.png,none.png,unmotivated,4.0,stand,right,hard,,565.446932083003,566.9559160830031,incorrect,1.4634919169984641,fall,left,4.0,573.3605813750038,,,,,
stim_set/hard-vcom=1-130.png,none.png,unmotivated,2.25,fall,left,hard,,573.3611223749976,575.932849124998,incorrect,2.5243718749989057,stand,right,3.0,581.7001109580015,,,,,
stim_set/hard-vcom=3-110.png,none.png,unmotivated,3.0,fall,left,hard,,581.7006377080032,584.3808854160015,correct,2.634551625000313,fall,left,5.0,591.3777133330004,,,,,
stim_set/hard-82.png,none.png,unmotivated,3.75,stand,right,hard,,591.3782486659984,594.5829410000006,incorrect,3.154391999996733,fall,left,3.0,601.0141909160011,,,,,
stim_set/hard-vcom=1-95.png,none.png,unmotivated,2.0,fall,left,hard,,601.0147468750001,604.1061465829989,incorrect,3.039263665996258,stand,right,3.0,609.8579546660037,,,,,
