towers,bet,condition,iti,corr_choice,corr_key,difficulty,block_start,trial_start,stim_on,acc,rt,part_choice,part_key,confidence,trial_end,block_end,updated_score,condition_first,cue_on
stim_set/hard-321.png,none.png,unmotivated,2.25,stand,right,hard,,450.2434138329991,451.1657229170087,incorrect,0.875441292009782,fall,left,5.0,455.91408620800934,,,,
stim_set/hard-vcom=2-20.png,none.png,unmotivated,2.25,fall,left,hard,,455.9147079170071,456.96579558300436,correct,0.99981295800535,fall,left,4.0,461.57858445800963,,,,
stim_set/hard-vcom=1-95.png,none.png,unmotivated,2.0,fall,left,hard,,461.57939595800417,462.4389588330087,correct,0.8076577089959756,fall,left,5.0,467.17697166699514,,,,
stim_set/hard-vcom=4-23.png,none.png,unmotivated,2.5,fall,left,hard,,467.1776715830056,468.49904454199714,incorrect,1.273846041993238,stand,right,4.0,473.43702358299925,,,,
stim_set/hard-334.png,none.png,unmotivated,2.0,stand,right,hard,,473.4375763330026,475.0224116250029,incorrect,1.5340360410045832,fall,left,3.0,479.6325052500033,,,,
stim_set/hard-14.png,none.png,unmotivated,3.25,stand,right,hard,,479.6331581249978,481.2486084580014,correct,1.5746121670090358,stand,right,4.0,486.9067058329965,,,,
stim_set/hard-vcom=1-136.png,none.png,unmotivated,2.5,fall,left,hard,,486.9072384580068,487.89713508299616,correct,0.9380534169904422,fall,left,4.0,493.59833912500466,,,,
stim_set/hard-vcom=3-110.png,none.png,unmotivated,3.0,fall,left,hard,,493.5988768749957,494.7054685000039,correct,1.0606015829980606,fall,left,5.0,500.14505350000394,,,,
stim_set/hard-549.png,none.png,unmotivated,3.25,stand,right,hard,,500.1455960000021,501.8136911670008,incorrect,1.614520209011971,fall,left,4.0,508.2910072079976,,,,
stim_set/hard-vcom=1-3.png,none.png,unmotivated,2.75,fall,left,hard,,508.29157625000516,509.415327249997,correct,1.0753346249985043,fall,left,4.0,514.694216792006,,,,
stim_set/hard-vcom=2-110.png,none.png,unmotivated,3.0,fall,left,hard,,514.6947781670024,515.7903633329988,correct,1.0492763749934966,fall,left,5.0,522.1071137499966,,,,
stim_set/hard-7.png,none.png,unmotivated,2.25,stand,right,hard,,522.1077907919971,523.0719171670062,incorrect,0.9066894999996292,fall,left,5.0,528.2185796670092,,,,
stim_set/hard-21.png,none.png,unmotivated,4.0,stand,right,hard,,528.2191427079962,529.1551845829963,incorrect,0.8839812090009218,fall,left,4.0,535.6480044580094,,,,
stim_set/hard-vcom=4-142.png,none.png,unmotivated,4.0,fall,left,hard,,535.6486202500091,537.2387400000007,incorrect,1.537485041000764,stand,right,4.0,543.8409572079981,,,,
stim_set/hard-91.png,none.png,unmotivated,2.25,stand,right,hard,,543.8414710420038,544.8551723749988,incorrect,0.9596065420046216,fall,left,5.0,550.2759409169959,,,,
stim_set/easy-77.png,none.png,unmotivated,3.0,stand,right,easy,,550.2764798330027,551.2382413330051,correct,0.9111501669976859,stand,right,5.0,558.1537934579974,,,,
stim_set/easy-vcom=4-19.png,none.png,unmotivated,3.25,fall,left,easy,,558.1542795830028,559.246676833005,incorrect,1.0359733329969458,stand,right,5.0,565.0580991669996,,,,
stim_set/hard-vcom=1-50.png,none.png,unmotivated,3.75,fall,left,hard,,565.0586857500019,566.696682875001,correct,1.581610458000796,fall,left,4.0,572.8460349170055,572.8464454170025,,,
stim_set/easy-vcom=2-20.png,stand.png,cooperation,4.0,fall,left,easy,0.0001557500072522089,0.0007805000059306622,9.059185459002038,correct,4.022300333002931,fall,left,4,16.565093167009763,,,,1.0124282090109773
stim_set/hard-570.png,stand.png,cooperation,2.0,stand,right,hard,,16.565703416999895,24.149034084010054,incorrect,2.5385151250084164,fall,left,4,29.115764667003532,,,,17.57649287499953
stim_set/hard-vcom=3-110.png,stand.png,cooperation,2.0,fall,left,hard,,29.116515542002162,36.77594366700214,correct,2.629714957991382,fall,left,4,41.435678250010824,,,,30.1270866249979
stim_set/hard-600.png,fall.png,cooperation,3.0,stand,right,hard,,41.43622141701053,47.99226633401122,incorrect,1.5258500829950208,fall,left,5,53.87584212500951,,,,42.447073709001415
stim_set/hard-244.png,stand.png,cooperation,2.5,stand,right,hard,,53.87641008400533,61.29215583400219,correct,2.3764297500019893,stand,right,4,67.30438254200271,,,,54.88678837500629
stim_set/easy-vcom=1-73.png,stand.png,cooperation,2.5,fall,left,easy,,67.30500020900217,75.12377604200447,incorrect,2.783678500010865,stand,right,3,80.84680079200189,,,,68.31600858400634
stim_set/easy-vcom=3-15.png,fall.png,cooperation,3.0,fall,left,easy,,80.8475416250003,87.45899816699966,correct,1.5759872080088826,fall,left,5,93.07535450000432,,,,81.85769175000314
stim_set/hard-vcom=3-145.png,stand.png,cooperation,3.75,fall,left,hard,,93.075891667002,102.08335654200346,incorrect,3.9786369590001414,stand,right,5,108.28975375001028,,,,94.08654833400215
stim_set/easy-vcom=3-74.png,fall.png,cooperation,2.25,fall,left,easy,,108.29039745900081,115.00925533400732,correct,1.6791274999995949,fall,left,5,120.18114225000318,,,,109.30145412500133
