towers,bet,condition,iti,corr_choice,corr_key,difficulty,block_start,trial_start,stim_on,acc,rt,part_choice,part_key,confidence,trial_end,block_end,updated_score
stim_set/hard-549.png,none.png,unmotivated,3.25,stand,right,hard,,357.588825791001,361.60394766600075,incorrect,3.961717750000389,fall,left,1,369.51152004100004,,
stim_set/hard-vcom=3-7.png,none.png,unmotivated,2.75,fall,left,hard,,369.51209949999975,370.7892806250002,correct,1.2295353329991485,fall,left,5,377.3880867910011,,
stim_set/hard-vcom=4-92.png,none.png,unmotivated,2.75,fall,left,hard,,377.3886658749998,380.1789949160011,correct,2.7337851250013046,fall,left,3,385.8423246660004,385.8427391660007,
stim_set/easy-vcom=1-145.png,none.png,unmotivated,3.75,fall,left,easy,403.0508892079997,403.0517194160002,404.85551487500015,correct,1.7536532920003083,fall,left,4,412.3324807500012,,
stim_set/hard-40.png,none.png,unmotivated,3.0,stand,right,hard,,412.33312779100015,413.8810018330005,incorrect,1.4971834999996645,fall,left,4,420.64629700000114,,
stim_set/hard-21.png,none.png,unmotivated,4.0,stand,right,hard,,420.6468721250003,422.38742691600055,incorrect,1.6883748340005695,fall,left,4,429.94902700000057,,
stim_set/hard-vcom=2-16.png,none.png,unmotivated,2.5,fall,left,hard,,429.94960883299973,432.25558575000105,correct,2.2538564999995288,fall,left,3,438.7052480000002,,
stim_set/hard-280.png,none.png,unmotivated,2.25,stand,right,hard,,438.7058741660003,441.7308680410006,incorrect,2.97363229199982,fall,left,3,448.53650845800075,,
stim_set/easy-vcom=3-74.png,none.png,unmotivated,2.25,fall,left,easy,,448.5371389160009,449.92896174999987,correct,1.3363554999996268,fall,left,4,455.34972766600004,,
stim_set/easy-vcom=2-147.png,none.png,unmotivated,3.25,fall,left,easy,,455.3503259580011,457.08745145800094,correct,1.6827105840002332,fall,left,4,464.1047960830001,,
stim_set/hard-vcom=1-50.png,none.png,unmotivated,3.75,fall,left,hard,,464.1053640830014,466.20585312500043,correct,2.048865624999962,fall,left,4,473.8431565830015,,
stim_set/easy-590.png,none.png,unmotivated,2.5,stand,right,easy,,473.84372329100006,475.9871486660013,correct,2.087441541998487,stand,right,4,482.16914916600035,,
stim_set/easy-vcom=4-19.png,none.png,unmotivated,3.25,fall,left,easy,,482.16991716600023,484.3374868330011,incorrect,2.1115547499994136,stand,right,4,491.04720525000084,,
stim_set/easy-164.png,none.png,unmotivated,4.0,stand,right,easy,,491.04777212500085,492.6624195830009,correct,1.5579555000003893,stand,right,4,499.5563566660003,,
stim_set/hard-49.png,none.png,unmotivated,2.25,stand,right,hard,,499.55695241600006,502.0041349580006,incorrect,2.389127250000456,fall,left,4,507.58341683300023,,
stim_set/hard-vcom=1-130.png,none.png,unmotivated,2.25,fall,left,hard,,507.5840575830007,511.02074329100105,correct,3.3849760840003,fall,left,1,519.3597641659999,,
stim_set/hard-vcom=3-145.png,none.png,unmotivated,2.75,fall,left,hard,,519.3603278330011,522.3207186660002,incorrect,2.9145102920010686,stand,right,2,530.0074361660008,,
stim_set/easy-vcom=2-94.png,none.png,unmotivated,2.75,fall,left,easy,,530.008057125,531.4957304159998,incorrect,1.4360374579991912,stand,right,1,537.3717843330014,,
stim_set/hard-321.png,none.png,unmotivated,2.25,stand,right,hard,,537.3725654580012,538.6978000409999,incorrect,1.2779352919988014,fall,left,5,545.0412418750002,,
stim_set/hard-2.png,none.png,unmotivated,2.75,stand,right,hard,,545.0418665830002,548.2142024160003,correct,3.1225485840004694,stand,right,2,554.5720128749999,,
stim_set/hard-vcom=2-110.png,none.png,unmotivated,3.0,fall,left,hard,,554.5725659159998,557.3459889160004,correct,2.722488583000086,fall,left,3,564.5987467080013,,
stim_set/hard-7.png,none.png,unmotivated,2.25,stand,right,hard,,564.5993178330009,567.9063553750002,incorrect,3.254513958998359,fall,left,3,574.2405232500005,,
stim_set/hard-570.png,none.png,unmotivated,2.25,stand,right,hard,,574.2410279160013,576.9625821660011,incorrect,2.664861582999947,fall,left,4,582.6555927910013,,
stim_set/hard-vcom=2-137.png,none.png,unmotivated,3.0,fall,left,hard,,582.6561361250006,586.9062238330007,incorrect,4.204550791000656,stand,right,2,593.2692912500006,,
stim_set/hard-177.png,none.png,unmotivated,2.0,stand,right,hard,,593.2698429160009,595.8291289580011,incorrect,2.512325708001299,fall,left,3,601.9415668330003,,
stim_set/hard-vcom=1-30.png,none.png,unmotivated,3.75,fall,left,hard,,601.9421216250012,603.978976208,correct,1.9865331250002782,fall,left,3,614.2606355000007,,
stim_set/hard-vcom=3-142.png,none.png,unmotivated,3.25,fall,left,hard,,614.261191208001,617.529281000001,correct,3.211317125000278,fall,left,3,623.9437825830009,,
stim_set/hard-vcom=4-147.png,none.png,unmotivated,2.25,fall,left,hard,,623.9444434160014,625.5374630410006,correct,1.5361355420009204,fall,left,4,632.6242835000012,,
stim_set/hard-vcom=4-139.png,none.png,unmotivated,4.0,fall,left,hard,,632.6249136250008,635.587643791001,correct,2.910854333000316,fall,left,3,644.2852789160006,,
stim_set/hard-vcom=2-147.png,none.png,unmotivated,2.5,fall,left,hard,,644.286018666,646.1558067080005,correct,1.828740832999756,fall,left,3,653.0997441250001,,
stim_set/easy-411.png,none.png,unmotivated,4.0,stand,right,easy,,653.1004492500015,654.4708681660013,correct,1.3145010829994135,stand,right,4,662.2553200410002,,
stim_set/hard-vcom=4-142.png,none.png,unmotivated,4.0,fall,left,hard,,662.255863583001,665.1315038330013,correct,2.8270356670000183,fall,left,3,676.4324642910015,,
stim_set/hard-369.png,none.png,unmotivated,2.0,stand,right,hard,,676.4331915410003,677.787687,correct,1.3084018329991522,stand,right,4,683.7894560830009,,
stim_set/hard-214.png,none.png,unmotivated,3.25,stand,right,hard,,683.7900016660005,685.9042296250009,incorrect,2.0580504999998084,fall,left,5,692.5114256249999,,
stim_set/hard-441.png,none.png,unmotivated,2.5,stand,right,hard,,692.5119845000008,694.2813594580002,correct,1.7234922080006072,stand,right,2,702.1077428750013,,
stim_set/hard-vcom=4-80.png,none.png,unmotivated,3.75,fall,left,hard,,702.1083071660014,704.3640293330009,correct,2.2043244579999737,fall,left,3,713.4597398330006,,
stim_set/hard-132.png,none.png,unmotivated,3.75,stand,right,hard,,713.4604545410002,715.0709629580015,incorrect,1.5580746670002554,fall,left,4,722.5232328330003,,
stim_set/hard-566.png,none.png,unmotivated,3.75,stand,right,hard,,722.5238203330009,724.2876962080009,incorrect,1.7073642080013087,fall,left,3,732.8838252500009,,
stim_set/easy-vcom=1-12.png,none.png,unmotivated,2.0,fall,left,easy,,732.8843735830014,735.090019583,correct,2.1540465409998433,fall,left,4,742.8158951660007,,
stim_set/hard-vcom=1-95.png,none.png,unmotivated,2.0,fall,left,hard,,742.8164791250001,745.6645350830004,incorrect,2.801292124999236,stand,right,2,751.0552000410007,,
stim_set/hard-vcom=1-136.png,none.png,unmotivated,2.5,fall,left,hard,,751.0557538749999,753.7709655830004,correct,2.6632899579999503,fall,left,3,761.7244399580013,,
stim_set/hard-182.png,none.png,unmotivated,4.0,stand,right,hard,,761.7249741659998,764.2294293330015,incorrect,2.458572749999803,fall,left,3,774.1345176249997,,
stim_set/hard-91.png,none.png,unmotivated,2.25,stand,right,hard,,774.1350684580011,776.8895638330014,incorrect,2.7048810830001457,fall,left,4,782.431990041001,782.4323173330013,
stim_set/hard-391.png,stand.png,cooperation,2.75,stand,right,hard,,,,,,,,,,,
stim_set/hard-382.png,fall.png,cooperation,3.75,stand,right,hard,,,,,,,,,,,
stim_set/easy-vcom=3-38.png,stand.png,cooperation,2.25,fall,left,easy,,,,,,,,,,,
stim_set/hard-549.png,stand.png,cooperation,2.25,stand,right,hard,,,,,,,,,,,
stim_set/hard-492.png,fall.png,cooperation,2.25,stand,right,hard,,,,,,,,,,,
stim_set/hard-2.png,stand.png,cooperation,3.25,stand,right,hard,,,,,,,,,,,
stim_set/hard-334.png,fall.png,cooperation,2.75,stand,right,hard,,,,,,,,,,,
stim_set/easy-vcom=1-12.png,stand.png,cooperation,2.25,fall,left,easy,,,,,,,,,,,
stim_set/easy-280.png,fall.png,cooperation,3.0,stand,right,easy,,,,,,,,,,,
stim_set/hard-441.png,fall.png,cooperation,2.0,stand,right,hard,,,,,,,,,,,
stim_set/hard-321.png,stand.png,cooperation,2.25,stand,right,hard,,,,,,,,,,,
stim_set/hard-566.png,fall.png,cooperation,3.25,stand,right,hard,,,,,,,,,,,
stim_set/hard-82.png,stand.png,cooperation,2.25,stand,right,hard,,,,,,,,,,,
stim_set/hard-vcom=4-139.png,stand.png,cooperation,2.75,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=1-50.png,fall.png,cooperation,4.0,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=1-3.png,fall.png,cooperation,2.25,fall,left,hard,,,,,,,,,,,
stim_set/hard-91.png,stand.png,cooperation,3.75,stand,right,hard,,,,,,,,,,,
stim_set/hard-367.png,stand.png,cooperation,3.75,stand,right,hard,,,,,,,,,,,
stim_set/easy-vcom=4-19.png,fall.png,cooperation,2.25,fall,left,easy,,,,,,,,,,,
stim_set/hard-vcom=3-34.png,stand.png,cooperation,3.25,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=3-110.png,stand.png,cooperation,2.0,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=3-145.png,fall.png,cooperation,3.75,fall,left,hard,,,,,,,,,,,
stim_set/easy-411.png,stand.png,cooperation,2.0,stand,right,easy,,,,,,,,,,,
stim_set/hard-244.png,stand.png,cooperation,2.5,stand,right,hard,,,,,,,,,,,
stim_set/easy-590.png,fall.png,cooperation,4.0,stand,right,easy,,,,,,,,,,,
stim_set/hard-402.png,stand.png,cooperation,3.75,stand,right,hard,,,,,,,,,,,
stim_set/hard-vcom=4-23.png,fall.png,cooperation,3.0,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=1-130.png,stand.png,cooperation,2.5,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=2-147.png,stand.png,cooperation,2.5,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=4-142.png,fall.png,cooperation,2.25,fall,left,hard,,,,,,,,,,,
stim_set/easy-vcom=3-15.png,stand.png,cooperation,3.0,fall,left,easy,,,,,,,,,,,
stim_set/hard-316.png,stand.png,cooperation,2.5,stand,right,hard,,,,,,,,,,,
stim_set/easy-vcom=4-126.png,stand.png,cooperation,2.5,fall,left,easy,,,,,,,,,,,
stim_set/easy-13.png,fall.png,cooperation,3.25,stand,right,easy,,,,,,,,,,,
stim_set/easy-vcom=3-142.png,fall.png,cooperation,3.25,fall,left,easy,,,,,,,,,,,
stim_set/hard-280.png,stand.png,cooperation,3.25,stand,right,hard,,,,,,,,,,,
stim_set/easy-vcom=1-145.png,stand.png,cooperation,3.75,fall,left,easy,,,,,,,,,,,
stim_set/hard-vcom=4-75.png,fall.png,cooperation,2.0,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=2-100.png,fall.png,cooperation,4.0,fall,left,hard,,,,,,,,,,,
stim_set/hard-177.png,stand.png,cooperation,2.0,stand,right,hard,,,,,,,,,,,
stim_set/easy-vcom=2-3.png,fall.png,cooperation,3.75,fall,left,easy,,,,,,,,,,,
stim_set/hard-vcom=4-92.png,fall.png,cooperation,2.25,fall,left,hard,,,,,,,,,,,
stim_set/easy-164.png,stand.png,cooperation,3.75,stand,right,easy,,,,,,,,,,,
stim_set/hard-vcom=1-136.png,stand.png,cooperation,2.75,fall,left,hard,,,,,,,,,,,
stim_set/easy-538.png,fall.png,cooperation,2.5,stand,right,easy,,,,,,,,,,,
stim_set/hard-vcom=3-7.png,stand.png,cooperation,2.75,fall,left,hard,,,,,,,,,,,
stim_set/easy-vcom=1-73.png,fall.png,cooperation,2.5,fall,left,easy,,,,,,,,,,,
stim_set/hard-vcom=3-82.png,stand.png,cooperation,2.5,fall,left,hard,,,,,,,,,,,
stim_set/hard-14.png,stand.png,cooperation,2.5,stand,right,hard,,,,,,,,,,,
stim_set/hard-369.png,fall.png,cooperation,2.5,stand,right,hard,,,,,,,,,,,
stim_set/easy-vcom=4-69.png,fall.png,cooperation,4.0,fall,left,easy,,,,,,,,,,,
stim_set/hard-vcom=2-20.png,fall.png,cooperation,2.0,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=3-142.png,stand.png,cooperation,4.0,fall,left,hard,,,,,,,,,,,
stim_set/hard-7.png,fall.png,cooperation,2.75,stand,right,hard,,,,,,,,,,,
stim_set/hard-132.png,stand.png,cooperation,3.0,stand,right,hard,,,,,,,,,,,
stim_set/hard-vcom=4-147.png,fall.png,cooperation,3.25,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=1-30.png,stand.png,cooperation,2.5,fall,left,hard,,,,,,,,,,,
stim_set/easy-vcom=1-87.png,fall.png,cooperation,2.5,fall,left,easy,,,,,,,,,,,
stim_set/easy-vcom=3-74.png,fall.png,cooperation,2.25,fall,left,easy,,,,,,,,,,,
stim_set/easy-vcom=2-20.png,stand.png,cooperation,4.0,fall,left,easy,,,,,,,,,,,
stim_set/hard-570.png,fall.png,cooperation,2.0,stand,right,hard,,,,,,,,,,,
