towers,bet,condition,iti,corr_choice,corr_key,difficulty,block_start,trial_start,stim_on,acc,trial_end,rt,part_choice,part_key,confidence,block_end,updated_score
stim_set/hard-vcom=3-7.png,none.png,unmotivated,2.75,fall,left,hard,,337.0528780000168,342.11854700002004,incorrect,346.33304129200405,,,,,,
stim_set/hard-vcom=4-92.png,none.png,unmotivated,2.75,fall,left,hard,,346.33371704199817,349.46164787499583,incorrect,354.8570974589966,3.075601958000334,stand,right,3,354.8574353340082,
stim_set/easy-vcom=1-145.png,none.png,unmotivated,3.75,fall,left,easy,358.0175827500061,358.01839608399314,361.61970012501115,correct,367.70449662499595,3.5513562080159318,fall,left,3,,
stim_set/hard-40.png,none.png,unmotivated,3.0,stand,right,hard,,367.70505112499814,370.5427433339937,correct,376.0271332919947,2.7827182080072816,stand,right,3,,
stim_set/hard-21.png,none.png,unmotivated,4.0,stand,right,hard,,376.0277446669934,380.1528612500115,correct,386.45919900000445,4.078242374991532,stand,right,3,,
stim_set/hard-vcom=2-16.png,none.png,unmotivated,2.5,fall,left,hard,,386.4597932920151,390.6367590420123,correct,396.25437283399515,4.1243274580047,fall,left,3,,
stim_set/hard-280.png,none.png,unmotivated,2.25,stand,right,hard,,396.2550111669989,400.6033272090135,correct,405.17351779202,4.2971141659945715,stand,right,3,,
stim_set/easy-vcom=3-74.png,none.png,unmotivated,2.25,fall,left,easy,,405.1741787090141,408.5931518340076,incorrect,413.2124521670048,3.363167749979766,stand,right,3,,
stim_set/easy-vcom=2-147.png,none.png,unmotivated,3.25,fall,left,easy,,413.2129798750102,416.3017067500041,correct,421.85268908401486,3.0347083329979796,fall,left,3,,
stim_set/hard-vcom=1-50.png,none.png,unmotivated,3.75,fall,left,hard,,421.85323420900386,425.10340370901395,incorrect,431.20090345901554,3.198391374986386,stand,right,3,,
stim_set/easy-590.png,none.png,unmotivated,2.5,stand,right,easy,,431.2014272919914,436.2681906670041,incorrect,440.0591912920063,,,,,,
stim_set/easy-vcom=4-19.png,none.png,unmotivated,3.25,fall,left,easy,,440.05980254200404,443.62666979199275,incorrect,450.04416137500084,3.510189000022365,stand,right,3,,
stim_set/easy-164.png,none.png,unmotivated,4.0,stand,right,easy,,450.0446853750036,454.40992929201457,correct,461.01854129199637,4.308376416011015,stand,right,3,,
