towers,bet,condition,iti,corr_choice,corr_key,difficulty,block_start,trial_start,stim_on,acc,trial_end,rt,part_choice,part_key,confidence,block_end,updated_score,condition_first,cue_on
stim_set/easy-538.png,none.png,unmotivated,2.5,stand,right,easy,,280.68837441699725,282.2791296249997,correct,288.05862233399966,1.5396583330002611,stand,right,4.0,,,,
stim_set/easy-vcom=3-15.png,none.png,unmotivated,2.25,fall,left,easy,,288.0591821670023,290.82065312500345,correct,295.37643379200017,2.7096219579980243,fall,left,4.0,,,,
stim_set/easy-vcom=1-145.png,none.png,unmotivated,3.75,fall,left,easy,,295.3771075839977,297.1555021250024,correct,303.3389498339966,1.7289221250030096,fall,left,5.0,,,,
stim_set/hard-vcom=4-92.png,none.png,unmotivated,2.75,fall,left,hard,,303.33953012499836,305.3788684169995,correct,312.1327742499998,1.983049458001915,fall,left,4.0,,,,
stim_set/easy-vcom=1-87.png,none.png,unmotivated,3.0,fall,left,easy,,312.13340379200235,317.2039244170009,incorrect,322.30813625000155,,,,,322.3084949999975,,,
stim_set/easy-vcom=3-142.png,none.png,unmotivated,2.75,fall,left,easy,345.13303291700134,345.13380162500107,347.8537023750032,correct,353.6354384590013,2.664484166998591,fall,left,3.0,,,,
stim_set/easy-590.png,none.png,unmotivated,2.5,stand,right,easy,,353.6359661250026,354.78830891699914,correct,359.80908812500275,1.100751375000982,stand,right,5.0,,,,
stim_set/hard-78.png,none.png,unmotivated,2.25,stand,right,hard,,359.80987754200027,361.3886237499974,incorrect,365.98221237499814,1.5290770000065097,fall,left,5.0,,,,
stim_set/hard-214.png,none.png,unmotivated,3.25,stand,right,hard,,365.98285429200035,368.3384309999965,incorrect,374.7287099169989,2.304338082998584,fall,left,2.0,,,,
stim_set/hard-49.png,none.png,unmotivated,2.25,stand,right,hard,,374.72944487500354,377.245166583998,correct,382.991489,2.457689959002892,stand,right,3.0,,,,
stim_set/hard-441.png,none.png,unmotivated,2.5,stand,right,hard,,382.99206483399763,384.91378995899873,correct,390.30483016699867,1.8759410409984407,stand,right,3.0,,,,
stim_set/hard-369.png,none.png,unmotivated,2.0,stand,right,hard,,390.30544850000297,393.2616629589975,incorrect,398.12569154200173,2.9099085830021068,fall,left,2.0,,,,
stim_set/hard-345.png,none.png,unmotivated,2.5,stand,right,hard,,398.1262824590012,399.84663300000096,correct,404.72848283399804,1.6734064580014092,stand,right,3.0,,,,
stim_set/easy-vcom=3-38.png,none.png,unmotivated,2.5,fall,left,easy,,404.7290517500005,407.67997233400087,incorrect,412.7444169169976,2.899503958004061,stand,right,3.0,,,,
stim_set/hard-vcom=2-16.png,none.png,unmotivated,2.5,fall,left,hard,,412.7450004589991,415.1366337500003,correct,419.97658258400037,2.3343820000009146,fall,left,2.0,,,,
stim_set/easy-vcom=3-74.png,none.png,unmotivated,2.25,fall,left,easy,,419.97713116699737,422.3300408340001,correct,428.55220829199965,2.3015231250028587,fall,left,3.0,,,,
stim_set/easy-vcom=2-3.png,none.png,unmotivated,4.0,fall,left,easy,,428.55279008400254,430.10463537499885,correct,436.49286358399695,1.5021390839974629,fall,left,4.0,,,,
stim_set/hard-vcom=4-75.png,none.png,unmotivated,2.5,fall,left,hard,,436.4934095420031,439.8544770000008,incorrect,445.1609549589994,3.310381791998225,stand,right,3.0,,,,
stim_set/hard-vcom=3-34.png,none.png,unmotivated,2.0,fall,left,hard,,445.1615299589977,448.15295741699816,correct,453.3888960839976,2.9346052500040964,fall,left,2.0,,,,
stim_set/easy-164.png,none.png,unmotivated,4.0,stand,right,easy,,453.3894217920024,454.836145209003,correct,461.1327254999997,1.389831917003903,stand,right,3.0,,,,
stim_set/hard-382.png,none.png,unmotivated,2.75,stand,right,hard,,461.1333177920024,464.7111186670009,incorrect,470.610731583998,3.5322514159997813,fall,left,1.0,,,,
stim_set/hard-vcom=1-130.png,none.png,unmotivated,2.25,fall,left,hard,,470.61127191699785,472.4377966250031,incorrect,477.01365812499716,1.7797247909984435,stand,right,3.0,,,,
stim_set/easy-411.png,none.png,unmotivated,4.0,stand,right,easy,,477.0142298339997,478.6869393750021,correct,485.39676029200206,1.6220484169971314,stand,right,3.0,,,,
stim_set/hard-40.png,none.png,unmotivated,3.0,stand,right,hard,,485.3973475419989,486.94598233400035,incorrect,494.46395754200057,1.4986179159968742,fall,left,4.0,,,,
stim_set/hard-vcom=4-139.png,none.png,unmotivated,4.0,fall,left,hard,,494.4647092919986,498.5377920840037,incorrect,505.2279116670034,4.025800708004681,stand,right,2.0,,,,
stim_set/hard-vcom=1-30.png,none.png,unmotivated,3.75,fall,left,hard,,505.228652042002,507.12937787499686,correct,513.4020122500007,1.8550273329965419,fall,left,4.0,,,,
stim_set/hard-vcom=3-82.png,none.png,unmotivated,2.25,fall,left,hard,,513.4027014590029,514.754358291997,correct,519.5582102089975,1.3018004580007982,fall,left,5.0,,,,
stim_set/hard-321.png,none.png,unmotivated,2.25,stand,right,hard,,519.558825209002,520.569192666997,incorrect,525.975734874999,0.959326249998412,fall,left,5.0,,,,
stim_set/hard-vcom=2-20.png,none.png,unmotivated,2.25,fall,left,hard,,525.9762968750001,527.6689130000013,correct,532.205598792003,1.6368385829991894,fall,left,4.0,,,,
stim_set/hard-vcom=1-95.png,none.png,unmotivated,2.0,fall,left,hard,,532.2061484590013,533.9689094589994,incorrect,539.0215117089973,1.7111435420010817,stand,right,3.0,,,,
stim_set/hard-vcom=4-23.png,none.png,unmotivated,2.5,fall,left,hard,,539.0220761669989,541.0856327090005,incorrect,547.0730016250018,2.0120125000030384,stand,right,4.0,,,,
